#Data from NFHS
#1 Comprehensive knowledge of HIV
#2 Condom usage can reduce chance of HIV
State_Name	Gender	Urban	Rural	Total	2025-16	Question
Puducherry	F	30.2	30.2	NA	25.4	1
Puducherry	M	35.2	25.4	NA	18	1
Puducherry	F	80.8	75.9	NA	72.7	2
Puducherry	M	91.4	87.5	NA	84.6	2
NCT Delhi	F	29.4	38	NA	32.7	1
NCT Delhi	M	44.1	28.1	NA	27.5	1
NCT Delhi	F	82.3	83.4	NA	72.6	2
NCT Delhi	M	93	87.3	NA	83.3	2
Chandigarh	F	20.3	NA	NA	41.1	1
Chandigarh	M	53.6	NA	NA	66.4	1
Chandigarh	F	72.3	NA	NA	87.6	2
Chandigarh	M	85	NA	NA	92.9	2
Uttarakhand	F	33.6	20.6	NA	28.6	1
Uttarakhand	M	42.1	33.3	NA	36.5	1
Uttarakhand	F	80.4	71	NA	65.3	2
Uttarakhand	M	91.4	91.6	NA	83.4	2
Uttar Pradesh	F	18.4	11.5	NA	17.5	1
Uttar Pradesh	M	25.5	20.8	NA	26.2	1
Uttar Pradesh	F	71.4	62.5	NA	47.4	2
Uttar Pradesh	M	80.7	77.3	NA	73.1	2
Tamil nadu	F	24.6	22.8	NA	16	1
Tamil nadu	M	31.1	22.4	NA	10.9	1
Tamil nadu	F	80.7	75.6	NA	64.7	2
Tamil nadu	M	89.7	90.4	NA	79.8	2
Rajasthan	F	32.1	25.1	NA	19.1	1
Rajasthan	M	40.7	34.3	NA	37.4	1
Rajasthan	F	80.6	73.1	NA	50.4	2
Rajasthan	M	93.6	89.6	NA	79.1	2
Punjab	F	24	18.4	NA	49.3	1
Punjab	M	42.4	34.2	NA	62.3	1
Punjab	F	72.5	65.3	NA	87.1	2
Punjab	M	89.3	84.4	NA	94.2	2
Odisha	F	25.1	20.5	NA	20.3	1
Odisha	M	25.3	24.5	NA	32.8	1
Odisha	F	74.4	71.2	NA	59.4	2
Odisha	M	86.9	86.5	NA	80.4	2
Madhya Pradesh	F	26.7	16	NA	18.1	1
Madhya Pradesh	M	29.7	25	NA	26.3	1
Madhya Pradesh	F	75.3	61.5	NA	46.8	2
Madhya Pradesh	M	84.2	76.4	NA	70.1	2
Jharkhand	F	21.7	11.2	NA	15.8	1
Jharkhand	M	39.4	28.1	NA	18	1
Jharkhand	F	76.1	62.5	NA	45.5	2
Jharkhand	M	90.7	76.8	NA	67.8	2
Haryana	F	22	18.7	NA	31.1	1
Haryana	M	39.4	35	NA	48.5	1
Haryana	F	71.4	70.7	NA	71.6	2
Haryana	M	86.8	89.4	NA	87.8	2
Chattisgarh	F	23.9	22.8	NA	20.7	1
Chattisgarh	M	37.4	28.7	NA	35.8	1
Chattisgarh	F	86.3	72.1	NA	57.5	2
Chattisgarh	M	90.2	83.3	NA	82.9	2
Arunachal Pradesh	F	11.1	12.5	NA	16	1
Arunachal Pradesh	M	30.4	34	NA	27.5	1
Arunachal Pradesh	F	58.6	62.9	NA	45.2	2
Arunachal Pradesh	M	70.6	79.1	NA	64.2	2
India	F	28.6	18.2	NA	20.9	1
India	M	37.5	27.1	NA	32.5	1
India	F	76.1	64.7	NA	54.9	2
India	M	86.4	79.6	NA	77.4	2
West bengal	F	30.8	12.3	NA	18.6	1
West bengal	M	21.3	12.8	NA	25.9	1
West bengal	F	73.3	53.8	NA	53.9	2
West bengal	M	81.8	68.4	NA	82.6	2
Tripura	F	19.7	13.7	NA	28	1
Tripura	M	40.6	25.6	NA	36.8	1
Tripura	F	62.8	58.3	NA	57.6	2
Tripura	M	89.4	83.6	NA	81.5	2
Telengana	F	36.9	26.9	NA	29.5	1
Telengana	M	33	28.9	NA	50.1	1
Telengana	F	74.7	65.4	NA	59.1	2
Telengana	M	78	73.5	NA	81.5	2
Sikkim	F	34.1	17.2	NA	25.5	1
Sikkim	M	23.4	15.2	NA	36.1	1
Sikkim	F	80.1	67.1	NA	62.7	2
Sikkim	M	80	86.2	NA	72.9	2
Nagaland	F	25.5	25.7	NA	12.5	1
